model,sample_id,step,amount,z1,z2
AE,136,2,2,-0.9843106,0.45038718
AE,136,3,3,-1.2984085,0.008071485
AE,137,0,0,-0.06128852,0.61987597
AE,137,1,1,-0.8881198,0.66054565
AE,137,2,2,-0.9205177,0.43275434
AE,137,3,3,-1.0206399,0.2697372
AE,138,0,0,1.1098925,-0.46397838
AE,138,1,1,-0.68520904,2.2909284
AE,138,2,2,-1.3639868,2.0914462
AE,138,3,3,-1.81804,1.3743808
AE,139,0,0,0.500242,-2.023336
AE,139,1,1,-0.6948266,-0.22062492
AE,139,2,2,-1.2639755,-0.15716523
AE,139,3,3,-1.8413357,-0.8390122
AE,140,0,0,1.0324333,-0.5040926
AE,140,1,1,0.79823244,-0.64154255
AE,140,2,2,-0.89506924,0.07752347
AE,140,3,3,-1.2555342,-0.28664163
AE,141,0,0,0.17049658,0.6431357
AE,141,1,1,-0.8520014,0.72561
AE,141,2,2,-0.946302,0.28077552
AE,141,3,3,-1.1178026,0.078613766
AE,142,0,0,-2.6023164,1.8593456
AE,142,1,1,-1.1582916,1.0046589
AE,142,2,2,-0.97640574,0.67216676
AE,142,3,3,-0.97480816,0.40424934
AE,143,0,0,2.4802067,1.0098487
AE,143,1,1,2.6918826,-0.86934364
AE,143,2,2,-1.1360717,1.2014179
AE,143,3,3,-1.418253,0.3312892
AE,144,0,0,2.181138,-0.9817107
AE,144,1,1,2.2903326,-1.5932496
AE,144,2,2,-1.3655173,2.6121964
AE,144,3,3,-1.3723134,1.904444
AE,145,0,0,0.33312005,-1.8730083
AE,145,1,1,-0.5313753,-1.6846577
AE,145,2,2,-1.3803517,-3.330884
AE,145,3,3,-2.0037344,-4.394727
AE,146,0,0,0.91985744,-2.1136558
AE,146,1,1,1.7679588,-4.155307
AE,146,2,2,0.22802424,-7.0714917
AE,146,3,3,-1.7145009,-8.631411
AE,147,0,0,0.81715137,1.171946
AE,147,1,1,-1.1042484,0.94092935
AE,147,2,2,-0.94460565,0.4598345
AE,147,3,3,-1.0040339,0.23608166
AE,148,0,0,2.057655,-1.44512
AE,148,1,1,-1.2537647,2.3702517
AE,148,2,2,-1.1047095,1.3139851
AE,148,3,3,-1.2219632,0.65983474
AE,149,0,0,0.34676144,0.44411868
AE,149,1,1,-0.43523926,-0.5477952
AE,149,2,2,-0.935123,0.020242553
AE,149,3,3,-1.124698,-0.24863441
AE,150,0,0,2.8641148,8.801875
AE,150,1,1,1.258298,-2.9432793
AE,150,2,2,-1.4148176,0.5717535
AE,150,3,3,-1.9241519,-0.12679751
AE,151,0,0,1.1151161,-4.2030272
AE,151,1,1,0.77809143,-7.90389
AE,151,2,2,-0.8953676,-8.51653
AE,151,3,3,-2.2582874,-8.38493
AE,152,0,0,-0.93750536,0.8573688
AE,152,1,1,-0.96265686,0.0052859103
AE,152,2,2,-0.9962486,-0.17568007
AE,152,3,3,-1.0573274,-0.2724506
AE,153,0,0,0.3886676,0.2493194
AE,153,1,1,-0.8585601,0.69356287
AE,153,2,2,-0.9277671,0.33614215
AE,153,3,3,-1.0578637,0.13304093
AE,154,0,0,0.7943523,-2.6751728
AE,154,1,1,0.63373977,-4.7009864
AE,154,2,2,-1.9556378,-0.9722598
AE,154,3,3,-2.4185188,-1.0515814
AE,155,0,0,1.5712917,-4.1798754
AE,155,1,1,-0.37778765,1.4767098
AE,155,2,2,-1.5469229,2.418594
AE,155,3,3,-2.0647845,1.9802684
AE,156,0,0,3.3705502,-0.0078045498
AE,156,1,1,3.6570256,-0.8542377
AE,156,2,2,3.9980698,-2.3173702
AE,156,3,3,4.224712,-5.5637336
AE,157,0,0,0.5185954,0.9518083
AE,157,1,1,-0.9998222,1.443333
AE,157,2,2,-0.94294,0.85902673
AE,157,3,3,-1.0265919,0.5084367
