[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  EPOCHS = 3000
  SEED = 0
  NOISE_P = 0.3
  N_EXPERTS = 4
  TOP_K = 4
  LAMBDA_MOE = 0.01

split：train 987 / val 123 / test 123

epoch  845 | train_nll -1.26183 | train_fsce 0.75081 | train_moe 1.00000 | val_dev 0.76914
epoch  850 | train_nll -1.25503 | train_fsce 0.70731 | train_moe 1.00000 | val_dev 0.79850
epoch  855 | train_nll -1.26669 | train_fsce 0.77643 | train_moe 1.00000 | val_dev 0.75024
epoch  860 | train_nll -1.28161 | train_fsce 0.75440 | train_moe 1.00000 | val_dev 0.75132
epoch  865 | train_nll -1.28020 | train_fsce 0.71421 | train_moe 1.00000 | val_dev 0.75051
epoch  870 | train_nll -1.28370 | train_fsce 0.69408 | train_moe 1.00000 | val_dev 0.78137
epoch  875 | train_nll -1.28400 | train_fsce 0.73473 | train_moe 1.00000 | val_dev 0.76139
epoch  880 | train_nll -1.27810 | train_fsce 0.72873 | train_moe 1.00000 | val_dev 0.77081
epoch  885 | train_nll -1.28870 | train_fsce 0.70060 | train_moe 1.00000 | val_dev 0.74753
epoch  890 | train_nll -1.29730 | train_fsce 0.67799 | train_moe 1.00000 | val_dev 0.76744
epoch  895 | train_nll -1.29144 | train_fsce 0.62981 | train_moe 1.00000 | val_dev 0.76603
epoch  900 | train_nll -1.29734 | train_fsce 0.63604 | train_moe 1.00000 | val_dev 0.78710
epoch  905 | train_nll -1.30142 | train_fsce 0.66698 | train_moe 1.00000 | val_dev 0.75363
epoch  910 | train_nll -1.29370 | train_fsce 0.67047 | train_moe 1.00000 | val_dev 0.78620
epoch  915 | train_nll -1.29260 | train_fsce 0.70260 | train_moe 1.00000 | val_dev 0.77046
epoch  920 | train_nll -1.29818 | train_fsce 0.67242 | train_moe 1.00000 | val_dev 0.73633
epoch  925 | train_nll -1.29689 | train_fsce 0.65059 | train_moe 1.00000 | val_dev 0.74281
epoch  930 | train_nll -1.28618 | train_fsce 0.66827 | train_moe 1.00000 | val_dev 0.74607
epoch  935 | train_nll -1.29706 | train_fsce 0.65884 | train_moe 1.00000 | val_dev 0.77764
epoch  940 | train_nll -1.29435 | train_fsce 0.62494 | train_moe 1.00000 | val_dev 0.75416
epoch  945 | train_nll -1.29761 | train_fsce 0.65117 | train_moe 1.00000 | val_dev 0.75628
epoch  950 | train_nll -1.30049 | train_fsce 0.63275 | train_moe 1.00000 | val_dev 0.74324
epoch  955 | train_nll -1.29847 | train_fsce 0.65234 | train_moe 1.00000 | val_dev 0.74019
epoch  960 | train_nll -1.29514 | train_fsce 0.67078 | train_moe 1.00000 | val_dev 0.74727
epoch  965 | train_nll -1.30366 | train_fsce 0.64183 | train_moe 1.00000 | val_dev 0.73274
epoch  970 | train_nll -1.27501 | train_fsce 0.66721 | train_moe 1.00000 | val_dev 0.74913
epoch  975 | train_nll -1.28298 | train_fsce 0.67816 | train_moe 1.00000 | val_dev 0.74904
epoch  980 | train_nll -1.28533 | train_fsce 0.67213 | train_moe 1.00000 | val_dev 0.77024
epoch  985 | train_nll -1.29491 | train_fsce 0.66861 | train_moe 1.00000 | val_dev 0.74050
epoch  990 | train_nll -1.29740 | train_fsce 0.67483 | train_moe 1.00000 | val_dev 0.76066
epoch  995 | train_nll -1.28441 | train_fsce 0.68065 | train_moe 1.00000 | val_dev 0.74742
epoch 1000 | train_nll -1.29624 | train_fsce 0.71075 | train_moe 1.00000 | val_dev 0.73275
epoch 1005 | train_nll -1.28442 | train_fsce 0.68247 | train_moe 1.00000 | val_dev 0.75757
epoch 1010 | train_nll -1.29878 | train_fsce 0.66652 | train_moe 1.00000 | val_dev 0.73837
epoch 1015 | train_nll -1.29016 | train_fsce 0.67549 | train_moe 1.00000 | val_dev 0.76226
epoch 1020 | train_nll -1.28685 | train_fsce 0.68610 | train_moe 1.00000 | val_dev 0.74866
epoch 1025 | train_nll -1.28897 | train_fsce 0.70338 | train_moe 1.00000 | val_dev 0.70879
epoch 1030 | train_nll -1.29951 | train_fsce 0.65929 | train_moe 1.00000 | val_dev 0.73295
epoch 1035 | train_nll -1.28414 | train_fsce 0.64690 | train_moe 1.00000 | val_dev 0.72714
epoch 1040 | train_nll -1.29702 | train_fsce 0.68939 | train_moe 1.00000 | val_dev 0.75481
epoch 1045 | train_nll -1.29825 | train_fsce 0.66962 | train_moe 1.00000 | val_dev 0.76006
epoch 1050 | train_nll -1.29383 | train_fsce 0.67154 | train_moe 1.00000 | val_dev 0.76426
epoch 1055 | train_nll -1.30074 | train_fsce 0.70549 | train_moe 1.00000 | val_dev 0.73756
epoch 1060 | train_nll -1.29720 | train_fsce 0.64517 | train_moe 1.00000 | val_dev 0.74644
epoch 1065 | train_nll -1.29469 | train_fsce 0.66576 | train_moe 1.00000 | val_dev 0.76342
epoch 1070 | train_nll -1.29984 | train_fsce 0.69572 | train_moe 1.00000 | val_dev 0.73808
epoch 1075 | train_nll -1.29726 | train_fsce 0.69215 | train_moe 1.00000 | val_dev 0.74259
epoch 1080 | train_nll -1.29251 | train_fsce 0.70984 | train_moe 1.00000 | val_dev 0.74046
epoch 1085 | train_nll -1.29418 | train_fsce 0.71636 | train_moe 1.00000 | val_dev 0.78257
epoch 1090 | train_nll -1.30126 | train_fsce 0.69930 | train_moe 1.00000 | val_dev 0.76303
epoch 1095 | train_nll -1.30139 | train_fsce 0.68872 | train_moe 1.00000 | val_dev 0.76710
epoch 1100 | train_nll -1.30696 | train_fsce 0.69929 | train_moe 1.00000 | val_dev 0.75581
epoch 1105 | train_nll -1.30075 | train_fsce 0.73955 | train_moe 1.00000 | val_dev 0.75961
epoch 1110 | train_nll -1.28185 | train_fsce 0.73252 | train_moe 1.00000 | val_dev 0.74410
