z1,z2,cluster_before,cluster_after
1.0900810956954956,-0.9580911993980408,3,1
0.8096647262573242,-4.859437942504883,2,1
1.002639889717102,-5.729780673980713,0,0
1.467260718345642,-2.663240432739258,1,0
1.8491805791854858,-2.9494612216949463,3,0
-1.9433990716934204,2.2745048999786377,0,2
0.8047322034835815,-1.4273507595062256,3,3
-2.52557635307312,-0.7064276933670044,7,7
-0.8097848296165466,0.1467965543270111,4,3
-0.06455408781766891,-0.7294284105300903,0,4
2.146040439605713,-3.2256572246551514,1,2
1.2904657125473022,-2.1098432540893555,1,2
0.6661728024482727,0.05745585635304451,6,4
-2.3547556400299072,2.182436227798462,0,2
0.01078749354928732,-4.634948253631592,2,1
-2.489957809448242,-3.7515432834625244,0,0
1.3564577102661133,-5.9360671043396,2,1
0.6080098152160645,-2.932055950164795,0,3
-3.3541345596313477,0.7266658544540405,7,3
-2.211906671524048,-4.027536869049072,7,7
0.2629918158054352,-4.3085432052612305,2,2
2.391843318939209,-3.3712830543518066,3,1
-2.814622163772583,-1.7331762313842773,2,3
-2.2641756534576416,1.8971660137176514,2,2
0.26174378395080566,-2.88896107673645,0,2
-2.9949052333831787,1.3307222127914429,2,2
0.25074508786201477,-2.011646270751953,4,1
-1.814356803894043,-2.3457190990448,7,2
-0.36907386779785156,-1.2942761182785034,2,2
1.8799406290054321,-3.2576963901519775,1,2
-3.1548573970794678,2.517408847808838,4,0
-1.9062306880950928,-2.626563787460327,0,2
-2.6580607891082764,1.3939688205718994,5,2
1.1331602334976196,-3.1920530796051025,0,1
-2.5739433765411377,-1.164894700050354,7,7
-1.2611645460128784,-1.5015716552734375,2,2
-2.2249810695648193,0.6430022716522217,7,7
-2.5205588340759277,1.5667524337768555,0,0
0.8610472679138184,0.05453558638691902,3,2
-2.0465304851531982,1.5234243869781494,7,2
1.351012945175171,-4.66050386428833,2,1
-0.6497678756713867,-4.2197699546813965,2,1
-4.300723552703857,3.010263442993164,0,0
-1.4880410432815552,-3.0383412837982178,7,2
0.5368404984474182,-4.559576034545898,2,1
-2.8546621799468994,1.278887152671814,5,3
1.4068760871887207,-1.1835088729858398,3,0
-0.24483558535575867,-0.2097683846950531,4,6
-0.6579272747039795,-1.1764835119247437,2,2
-2.324985980987549,-2.198841094970703,7,7
-4.21903657913208,1.9486136436462402,5,4
-2.278269052505493,2.191115379333496,2,2
0.6501670479774475,-3.9617393016815186,2,1
-0.8234758973121643,-2.15038800239563,2,2
-3.485424518585205,1.0691497325897217,5,3
-3.54709529876709,0.258500337600708,2,3
-2.5146801471710205,-1.2090682983398438,7,3
-2.293471574783325,-3.9636995792388916,0,0
-0.6234113574028015,0.592991054058075,4,6
