n_poi,n_cat,entropy,dominance
26,3,1.0123308391031733,0.46153846153846156
20,7,1.6781976819198954,0.35
16,4,1.2123138802671547,0.4375
13,3,0.7902679680745903,0.6923076923076923
14,5,1.252762968495368,0.5714285714285714
14,3,0.8760057656431737,0.5714285714285714
26,6,1.324960016621809,0.5
49,7,1.4847430304840312,0.4489795918367347
19,6,1.5575604616568661,0.3684210526315789
29,6,1.384549434689913,0.4827586206896552
33,7,1.6010896446411562,0.36363636363636365
21,5,1.3640495020593808,0.3333333333333333
12,5,1.2342678660790767,0.5833333333333334
20,6,1.2706817223249798,0.6
17,4,0.9554471413937666,0.6470588235294118
25,6,1.1671601704107626,0.64
25,6,1.6142594273441313,0.32
54,6,1.13846185922738,0.5185185185185185
